Bank_Txn_ID,Settlement_ID,Date,Amount
BNK_0001,SET_0001,2026-08-04,17690.88
BNK_0002,SET_0002,2026-08-21,53723.36
BNK_0003,SET_0003,2026-08-09,33765.31
BNK_0004,SET_0004,2026-08-19,107463.84
BNK_0005,SET_0005,2026-08-14,53163.46
BNK_0006,SET_0006,2026-08-06,84852.76
BNK_0007,SET_0007,2026-08-16,41615.81
BNK_0008,SET_0008,2026-08-09,51971.39
BNK_0009,SET_0009,2026-08-22,68302.77
BNK_0010,SET_0010,2026-08-19,37301.76
BNK_0011,SET_0011,2026-08-17,80063.81
BNK_0012,SET_0012,2026-08-08,78080.70999999999
BNK_0013,SET_0013,2026-08-10,79693.99
BNK_0014,SET_0014,2026-08-07,8465.32
BNK_0015,SET_0015,2026-08-22,99132.48
BNK_0016,SET_0016,2026-08-16,103131.23
BNK_0017,SET_0017,2026-08-18,60093.29
BNK_0018,SET_0018,2026-08-16,29823.45
BNK_0019,SET_0019,2026-08-04,67017.49
BNK_0020,SET_0020,2026-08-07,93824.02
BNK_0022,SET_0022,2026-08-20,54769.17
BNK_0023,SET_0023,2026-08-17,34256.27
BNK_0024,SET_0024,2026-08-19,59006.83
BNK_0025,SET_0025,2026-08-12,31543.0
BNK_0026,SET_0026,2026-08-20,14634.1
BNK_0027,SET_0027,2026-08-15,82017.93
BNK_0028,SET_0028,2026-08-16,50560.05
BNK_0029,SET_0029,2026-08-16,12622.38
BNK_0030,SET_0030,2026-08-21,109714.48
BNK_0031,SET_0031,2026-08-18,6429.73
BNK_0032,SET_0032,2026-08-15,99540.09
BNK_0033,SET_0033,2026-08-18,29887.23
BNK_0034,SET_0034,2026-08-03,48501.07
BNK_0035,SET_0035,2026-08-17,106801.0
BNK_0036,SET_0036,2026-08-15,70806.16
BNK_0038,SET_0038,2026-08-04,34362.25
BNK_0039,SET_0039,2026-08-17,41688.62
BNK_0040,SET_0040,2026-08-16,33496.05
BNK_0041,SET_0041,2026-08-09,88068.3
BNK_0042,SET_0042,2026-08-05,91606.71
BNK_0043,SET_0043,2026-08-10,27683.36
BNK_0044,SET_0044,2026-08-10,19648.38
BNK_0045,SET_0045,2026-08-17,82645.0
BNK_0046,SET_0046,2026-08-06,91228.66
BNK_0047,SET_0047,2026-08-06,69355.15
BNK_0048,SET_0048,2026-08-24,109210.08
BNK_0049,SET_0049,2026-08-23,32460.94
BNK_0050,SET_0050,2026-08-21,91760.75
BNK_0051,SET_0051,2026-08-14,13357.45
BNK_0052,SET_0052,2026-08-16,96121.63
BNK_0054,SET_0054,2026-08-16,25132.05
BNK_0055,SET_0055,2026-08-22,94569.16
BNK_0056,SET_0056,2026-08-17,53633.34
BNK_0057,SET_0057,2026-08-13,99349.51
BNK_0058,SET_0058,2026-08-17,32572.36
BNK_0059,SET_0059,2026-08-13,8934.92
BNK_0060,SET_0060,2026-08-25,29085.07
BNK_0061,SET_0061,2026-08-11,66840.1
BNK_0062,SET_0062,2026-08-12,32296.89
BNK_0063,SET_0063,2026-08-18,76739.61
BNK_0064,SET_0064,2026-08-03,16004.65
BNK_0065,SET_0065,2026-08-10,39421.18
BNK_0066,SET_0066,2026-08-18,66585.43
BNK_0067,SET_0067,2026-08-20,42122.07
BNK_0068,SET_0068,2026-08-12,33400.7
BNK_0069,SET_0069,2026-08-17,18916.05
BNK_0070,SET_0070,2026-08-18,36157.69
BNK_0071,SET_0071,2026-08-06,97252.88
BNK_0072,SET_0072,2026-08-14,25495.09
BNK_0073,SET_0073,2026-08-11,10782.26
BNK_0074,SET_0074,2026-08-12,75857.09
BNK_0075,SET_0075,2026-08-12,57285.880000000005
BNK_0076,SET_0076,2026-08-04,33583.189999999995
BNK_0077,SET_0077,2026-08-15,59804.29
BNK_0078,SET_0078,2026-08-10,22172.55
BNK_0079,SET_0079,2026-08-06,67090.79
BNK_0080,SET_0080,2026-08-19,47569.56
BNK_0081,SET_0081,2026-08-21,114544.85
BNK_0082,SET_0082,2026-08-22,111257.63
BNK_0084,SET_0084,2026-08-10,24876.81
