Invoice_ID,Date,Base_Amount,GST_Amount,Total_Amount,Merchant_ID,should_match,exception_type,expected_match_confidence
INV_0001,2026-08-02,15298.24,2753.68,18051.92,MERCHANT_007,True,none,1.0
INV_0002,2026-08-11,46457.42,8362.34,54819.76,MERCHANT_009,True,timing_difference,0.9
INV_0003,2026-08-07,29198.64,5255.76,34454.4,MERCHANT_007,True,none,1.0
INV_0004,2026-08-17,92929.64,16727.34,109656.98,MERCHANT_009,True,none,1.0
INV_0005,2026-08-12,45973.25,8275.18,54248.43,MERCHANT_006,True,none,1.0
INV_0006,2026-08-04,73376.65,13207.8,86584.45,MERCHANT_005,True,none,1.0
INV_0007,2026-08-14,35987.38,6477.73,42465.11,MERCHANT_005,True,none,1.0
INV_0008,2026-08-07,44942.4,8089.63,53032.03,MERCHANT_007,True,none,1.0
INV_0009,2026-08-20,59065.0,10631.7,69696.7,MERCHANT_007,True,none,1.0
INV_0010,2026-08-10,32256.8,5806.22,38063.02,MERCHANT_007,True,timing_difference,0.9
INV_0011,2026-08-15,69184.59,12453.23,81637.82,MERCHANT_009,False,amount_mismatch,0.85
INV_0012,2026-08-06,67590.82,12166.35,79757.17,MERCHANT_005,False,amount_mismatch,0.85
INV_0013,2026-08-08,68915.59,12404.81,81320.4,MERCHANT_004,True,none,1.0
INV_0014,2026-08-05,7320.41,1317.67,8638.08,MERCHANT_004,True,none,1.0
INV_0015,2026-08-20,85725.08,15430.51,101155.59,MERCHANT_002,False,duplicate,0.0
INV_0015,2026-08-20,85725.08,15430.51,101155.59,MERCHANT_002,False,duplicate,0.0
INV_0016,2026-08-14,89183.01,16052.94,105235.95,MERCHANT_010,True,none,1.0
INV_0017,2026-08-13,51965.83,9353.85,61319.68,MERCHANT_004,True,timing_difference,0.9
INV_0018,2026-08-14,25789.91,4642.18,30432.09,MERCHANT_009,True,none,1.0
INV_0019,2026-08-02,57953.55,10431.64,68385.19,MERCHANT_002,True,none,1.0
INV_0020,2026-08-05,81134.58,14604.22,95738.8,MERCHANT_009,True,none,1.0
