Payment_ID,Invoice_ID,Date,Amount,Payment_Method
PAY_0001,INV_0001,2026-08-02,18051.92,NetBanking
PAY_0002,INV_0002,2026-08-11,54819.76,UPI
PAY_0003,INV_0003,2026-08-07,34454.4,UPI
PAY_0004,INV_0004,2026-08-17,109656.98,Card
PAY_0005,INV_0005,2026-08-12,54248.43,NetBanking
PAY_0006,INV_0006,2026-08-04,86584.45,NetBanking
PAY_0007,INV_0007,2026-08-14,42465.11,Card
PAY_0008,INV_0008,2026-08-07,53032.03,Card
PAY_0009,INV_0009,2026-08-20,69696.7,UPI
PAY_0010,INV_0010,2026-08-10,38063.02,NetBanking
PAY_0011,INV_0011,2026-08-15,81637.82,Wallet
PAY_0012,INV_0012,2026-08-06,79757.17,NetBanking
PAY_0013,INV_0013,2026-08-08,81320.4,Card
PAY_0014,INV_0014,2026-08-05,8638.08,Wallet
PAY_0015,INV_0015,2026-08-20,101155.59,Wallet
PAY_0016,INV_0016,2026-08-14,105235.95,Card
PAY_0017,INV_0017,2026-08-13,61319.68,Card
PAY_0018,INV_0018,2026-08-14,30432.09,Wallet
PAY_0019,INV_0019,2026-08-02,68385.19,Wallet
PAY_0020,INV_0020,2026-08-05,95738.8,NetBanking
PAY_0021,INV_0021,2026-08-15,74578.32,Wallet
PAY_0022,INV_0022,2026-08-18,55886.91,Wallet
PAY_0023,INV_0023,2026-08-15,34955.38,NetBanking
PAY_0024,INV_0024,2026-08-17,60223.33,NetBanking
PAY_0025,INV_0025,2026-08-10,32186.73,NetBanking
PAY_0027,INV_0027,2026-08-13,83691.77,UPI
PAY_0028,INV_0028,2026-08-14,51591.89,Wallet
PAY_0029,INV_0029,2026-08-14,12879.98,Wallet
PAY_0030,INV_0030,2026-08-19,111953.55,Wallet
PAY_0031,INV_0031,2026-08-16,6560.95,NetBanking
PAY_0032,INV_0032,2026-08-13,101571.52,Card
PAY_0033,INV_0033,2026-08-16,30497.17,Wallet
PAY_0034,INV_0034,2026-08-01,49490.89,Card
PAY_0035,INV_0035,2026-08-15,108980.61,UPI
PAY_0036,INV_0036,2026-08-13,72251.18,UPI
PAY_0037,INV_0037,2026-08-21,53947.49,Card
PAY_0038,INV_0038,2026-08-02,35063.52,Card
PAY_0039,INV_0039,2026-08-15,42539.41,NetBanking
PAY_0040,INV_0040,2026-08-14,34179.64,Wallet
PAY_0041,INV_0041,2026-08-01,89865.61,NetBanking
PAY_0042,INV_0042,2026-08-03,93476.23,UPI
PAY_0043,INV_0043,2026-08-08,28248.33,Card
PAY_0044,INV_0044,2026-08-08,20049.37,Card
PAY_0045,INV_0045,2026-08-15,84310.02,Card
PAY_0046,INV_0046,2026-08-04,93090.47,NetBanking
PAY_0047,INV_0047,2026-08-04,70770.56,Wallet
PAY_0048,INV_0048,2026-08-13,111438.86,UPI
PAY_0049,INV_0049,2026-08-21,33123.41,UPI
