Settlement_ID,Payment_ID,Date,Amount,MDR_Amount
SET_0001,PAY_0001,2026-08-03,17690.88,361.04
SET_0002,PAY_0002,2026-08-17,53723.36,1096.4
SET_0003,PAY_0003,2026-08-08,33765.31,689.09
SET_0004,PAY_0004,2026-08-18,107463.84,2193.14
SET_0005,PAY_0005,2026-08-13,53163.46,1084.97
SET_0006,PAY_0006,2026-08-05,84852.76,1731.69
SET_0007,PAY_0007,2026-08-15,41615.81,849.3
SET_0008,PAY_0008,2026-08-08,51971.39,1060.64
SET_0009,PAY_0009,2026-08-21,68302.77,1393.93
SET_0010,PAY_0010,2026-08-16,37301.76,761.26
SET_0011,PAY_0011,2026-08-16,80063.81,1632.76
SET_0012,PAY_0012,2026-08-07,78080.70999999999,1595.14
SET_0013,PAY_0013,2026-08-09,79693.99,1626.41
SET_0014,PAY_0014,2026-08-06,8465.32,172.76
SET_0015,PAY_0015,2026-08-21,99132.48,2023.11
SET_0016,PAY_0016,2026-08-15,103131.23,2104.72
SET_0017,PAY_0017,2026-08-16,60093.29,1226.39
SET_0018,PAY_0018,2026-08-15,29823.45,608.64
SET_0019,PAY_0019,2026-08-03,67017.49,1367.7
SET_0020,PAY_0020,2026-08-06,93824.02,1914.78
SET_0022,PAY_0022,2026-08-19,54769.17,1117.74
SET_0023,PAY_0023,2026-08-16,34256.27,699.11
SET_0024,PAY_0024,2026-08-18,59006.83,1204.47
SET_0025,PAY_0025,2026-08-11,31543.0,643.73
SET_0026,PAY_0026,2026-08-19,14634.1,298.66
SET_0027,PAY_0027,2026-08-14,82017.93,1673.84
SET_0028,PAY_0028,2026-08-15,50560.05,1031.84
SET_0029,PAY_0029,2026-08-15,12622.38,257.6
SET_0030,PAY_0030,2026-08-20,109714.48,2239.07
SET_0031,PAY_0031,2026-08-17,6429.73,131.22
SET_0032,PAY_0032,2026-08-14,99540.09,2031.43
SET_0033,PAY_0033,2026-08-17,29887.23,609.94
SET_0034,PAY_0034,2026-08-02,48501.07,989.82
SET_0035,PAY_0035,2026-08-16,106801.0,2179.61
SET_0036,PAY_0036,2026-08-14,70806.16,1445.02
SET_0038,PAY_0038,2026-08-03,34362.25,701.27
SET_0039,PAY_0039,2026-08-16,41688.62,850.79
SET_0040,PAY_0040,2026-08-15,33496.05,683.59
SET_0041,PAY_0041,2026-08-05,88068.3,1797.31
SET_0042,PAY_0042,2026-08-04,91606.71,1869.52
SET_0043,PAY_0043,2026-08-09,27683.36,564.97
SET_0044,PAY_0044,2026-08-09,19648.38,400.99
SET_0045,PAY_0045,2026-08-16,82645.0,1686.2
SET_0046,PAY_0046,2026-08-05,91228.66,1861.81
SET_0047,PAY_0047,2026-08-05,69355.15,1415.41
SET_0048,PAY_0048,2026-08-20,109210.08,2228.78
SET_0049,PAY_0049,2026-08-22,32460.94,662.47
SET_0050,PAY_0050,2026-08-20,91760.75,1872.67
SET_0051,PAY_0051,2026-08-13,13357.45,272.6
SET_0052,PAY_0052,2026-08-15,96121.63,1961.67
SET_0054,PAY_0054,2026-08-15,25132.05,512.9
SET_0055,PAY_0055,2026-08-21,94569.16,1929.98
SET_0056,PAY_0056,2026-08-16,53633.34,1094.56
SET_0057,PAY_0057,2026-08-12,99349.51,2027.54
SET_0058,PAY_0058,2026-08-16,32572.36,664.74
SET_0059,PAY_0059,2026-08-12,8934.92,182.35
SET_0060,PAY_0060,2026-08-21,29085.07,593.57
SET_0061,PAY_0061,2026-08-10,66840.1,1364.08
SET_0062,PAY_0062,2026-08-10,32296.89,659.12
SET_0063,PAY_0063,2026-08-17,76739.61,1566.11
SET_0064,PAY_0064,2026-08-02,16004.65,326.63
SET_0065,PAY_0065,2026-08-09,39421.18,804.51
SET_0066,PAY_0066,2026-08-17,66585.43,1358.89
SET_0067,PAY_0067,2026-08-19,42122.07,859.63
SET_0068,PAY_0068,2026-08-11,33400.7,681.65
SET_0069,PAY_0069,2026-08-15,18916.05,386.04
SET_0070,PAY_0070,2026-08-17,36157.69,737.91
SET_0071,PAY_0071,2026-08-05,97252.88,1984.75
SET_0072,PAY_0072,2026-08-13,25495.09,520.31
SET_0073,PAY_0073,2026-08-10,10782.26,220.05
SET_0074,PAY_0074,2026-08-08,75857.09,1548.1
SET_0075,PAY_0075,2026-08-11,57285.880000000005,1170.39
SET_0076,PAY_0076,2026-08-03,33583.189999999995,684.06
SET_0077,PAY_0077,2026-08-14,59804.29,1220.5
SET_0078,PAY_0078,2026-08-08,22172.55,452.5
SET_0079,PAY_0079,2026-08-05,67090.79,1369.2
SET_0080,PAY_0080,2026-08-18,47569.56,970.81
SET_0081,PAY_0081,2026-08-20,114544.85,2337.65
SET_0082,PAY_0082,2026-08-21,111257.63,2270.56
SET_0084,PAY_0084,2026-08-09,24876.81,507.69
SET_0085,PAY_0085,2026-08-02,50619.17,1033.9
SET_0087,PAY_0087,2026-08-09,81296.73,1659.12
SET_0088,PAY_0088,2026-08-19,30479.12,622.02
SET_0090,PAY_0090,2026-08-21,88061.0,1797.16
SET_0091,PAY_0091,2026-08-16,19443.25,396.8
SET_0092,PAY_0092,2026-08-10,60762.87,1240.06
SET_0093,PAY_0093,2026-08-04,71481.11,1458.8
SET_0094,PAY_0094,2026-08-21,33286.92,679.32
SET_0095,PAY_0095,2026-08-20,70282.15,1434.33
SET_0096,PAY_0096,2026-08-20,10201.77,208.2
SET_0097,PAY_0097,2026-08-18,77355.53,1578.68
SET_0098,PAY_0098,2026-08-20,53661.45,1095.25
SET_0099,PAY_0099,2026-08-15,42364.549999999996,865.28
SET_0100,PAY_0100,2026-08-17,37445.03,764.18
SET_0101,PAY_0101,2026-08-16,15456.07,315.43
SET_0102,PAY_0102,2026-08-11,112364.56,2293.15
SET_0103,PAY_0103,2026-08-15,11736.75,239.53
SET_0104,PAY_0104,2026-08-24,88883.33,1813.95
SET_0105,PAY_0105,2026-08-19,20174.86,411.73
SET_0106,PAY_0106,2026-08-17,19121.63,390.24
SET_0107,PAY_0107,2026-08-07,39920.39,814.7
SET_0108,PAY_0108,2026-08-04,30556.57,621.78
SET_0109,PAY_0109,2026-08-22,97199.59,1983.66
SET_0110,PAY_0110,2026-08-18,83277.11,1699.53
SET_0111,PAY_0111,2026-08-17,32557.8,664.44
SET_0112,PAY_0112,2026-08-14,26794.890000000003,545.35
SET_0113,PAY_0113,2026-08-10,90666.55,1850.34
SET_0114,PAY_0114,2026-08-18,35133.05,717.0
SET_0115,PAY_0115,2026-08-14,97785.43,1995.62
SET_0116,PAY_0116,2026-08-19,-58990.78,-1203.89
SET_0118,PAY_0118,2026-08-20,47854.41,976.62
SET_0119,PAY_0119,2026-08-12,87593.82,1787.63
SET_0120,PAY_0120,2026-08-22,113532.72,2316.99
SET_0121,PAY_0121,2026-08-06,60962.7,1244.14
SET_0122,PAY_0122,2026-08-05,101818.82,2077.93
SET_0123,PAY_0123,2026-08-18,-105801.3,-2159.21
SET_0124,PAY_0124,2026-08-15,101460.95,2070.63
SET_0125,PAY_0125,2026-08-17,91638.8,1870.18
SET_0126,PAY_0126,2026-08-21,81951.62,1671.04
SET_0127,PAY_0127,2026-08-19,47529.07,969.98
SET_0128,PAY_0128,2026-08-19,9725.79,198.49
SET_0129,PAY_0129,2026-08-22,80968.77,1652.42
SET_0130,PAY_0130,2026-08-04,53457.24,1090.96
SET_0131,PAY_0131,2026-08-16,24058.5,490.99
SET_0132,PAY_0132,2026-08-03,41417.15,845.25
SET_0133,PAY_0133,2026-08-13,46961.29,958.39
SET_0134,PAY_0134,2026-08-18,-51049.19,-1041.82
SET_0135,PAY_0135,2026-08-07,14457.3,295.05
SET_0136,PAY_0136,2026-08-17,106063.58,2164.56
SET_0137,PAY_0137,2026-08-16,75860.93,1548.18
SET_0138,PAY_0138,2026-08-02,104534.3,2133.35
SET_0139,PAY_0139,2026-08-25,23136.88,472.18
SET_0140,PAY_0140,2026-08-22,111468.59,2274.87
SET_0141,PAY_0141,2026-08-11,27667.58,564.64
SET_0143,PAY_0143,2026-08-20,38285.95,781.35
SET_0144,PAY_0144,2026-08-14,35935.87,733.39
SET_0145,PAY_0145,2026-08-21,87645.11,1788.68
SET_0146,PAY_0146,2026-08-21,93880.65,1915.93
SET_0147,PAY_0147,2026-08-21,33396.04,679.91
SET_0148,PAY_0148,2026-08-22,10112.88,206.39
SET_0149,PAY_0149,2026-08-20,45864.93,936.02
SET_0150,PAY_0150,2026-08-11,41674.72,850.5
SET_0151,PAY_0151,2026-08-08,20300.81,414.3
SET_0152,PAY_0152,2026-08-18,60908.17,1243.02
SET_0154,PAY_0154,2026-08-12,94133.38,1921.09
SET_0155,PAY_0155,2026-08-12,88631.57,1808.81
SET_0156,PAY_0156,2026-08-04,92644.74,1890.71
SET_0157,PAY_0157,2026-08-19,19359.21,395.09
SET_0158,PAY_0158,2026-08-20,47640.7,972.26
SET_0160,PAY_0160,2026-08-21,30100.95,614.31
SET_0161,PAY_0161,2026-08-11,77106.15,1573.59
SET_0162,PAY_0162,2026-08-03,109736.4,2239.52
SET_0163,PAY_0163,2026-08-05,16459.32,335.9
SET_0164,PAY_0164,2026-08-14,55618.4,1135.07
SET_0165,PAY_0165,2026-08-22,87326.19,1782.17
SET_0166,PAY_0166,2026-08-21,50616.79,1033.0
SET_0167,PAY_0167,2026-08-13,29650.81,605.12
SET_0168,PAY_0168,2026-08-13,16696.9,340.75
SET_0169,PAY_0169,2026-08-03,49610.630000000005,1010.63
SET_0170,PAY_0170,2026-08-16,15763.19,323.53
SET_0171,PAY_0171,2026-08-12,32540.0,664.08
SET_0172,PAY_0172,2026-08-04,96944.12,1978.45
SET_0173,PAY_0173,2026-08-20,29560.86,602.16
SET_0174,PAY_0174,2026-08-21,6093.51,124.36
SET_0175,PAY_0175,2026-08-19,33318.37,679.97
SET_0176,PAY_0176,2026-08-02,20261.65,413.5
SET_0177,PAY_0177,2026-08-20,41350.88,843.9
SET_0178,PAY_0178,2026-08-03,19707.44,402.19
SET_0179,PAY_0179,2026-08-04,58091.840000000004,1185.74
SET_0180,PAY_0180,2026-08-09,109643.48,2237.62
SET_0181,PAY_0181,2026-08-16,76458.11,1560.37
SET_0182,PAY_0182,2026-08-17,98864.52,2017.64
SET_0183,PAY_0183,2026-08-17,84044.98,1715.2
SET_0184,PAY_0184,2026-08-04,41168.56,840.17
SET_0185,PAY_0185,2026-08-06,35970.88,734.59
SET_0186,PAY_0186,2026-08-21,64067.91,1307.51
SET_0187,PAY_0187,2026-08-05,92909.95,1896.12
SET_0188,PAY_0188,2026-08-15,55388.92,1130.39
SET_0189,PAY_0189,2026-08-12,96680.63,1973.07
SET_0190,PAY_0190,2026-08-05,40117.94,818.73
SET_0191,PAY_0191,2026-08-15,110541.77,2255.95
SET_0192,PAY_0192,2026-08-04,53227.09,1086.27
SET_0193,PAY_0193,2026-08-19,12371.38,252.48
SET_0194,PAY_0194,2026-08-05,50912.62,1039.03
SET_0195,PAY_0195,2026-08-11,71741.85,1464.12
SET_0196,PAY_0196,2026-08-20,61525.32,1255.62
SET_0197,PAY_0197,2026-08-09,98861.92,2017.59
SET_0198,PAY_0198,2026-08-05,89560.34,1827.76
SET_0199,PAY_0199,2026-08-15,98629.05,2012.84
SET_0200,PAY_0200,2026-08-21,107785.42,2201.01
SET_0201,PAY_0201,2026-08-11,107020.26,2184.09
SET_0202,PAY_0202,2026-08-07,101343.38,2068.23
SET_0203,PAY_0203,2026-08-10,21368.07,436.08
SET_0204,PAY_0204,2026-08-14,-51903.97,-1059.26
SET_0205,PAY_0205,2026-08-13,40017.86,816.69
SET_0206,PAY_0206,2026-08-03,-22873.7,-466.81
SET_0207,PAY_0207,2026-08-04,35674.68,728.05
SET_0208,PAY_0208,2026-08-21,54344.1,1109.06
SET_0209,PAY_0209,2026-08-18,18285.76,373.18
SET_0210,PAY_0210,2026-08-11,80289.67,1638.56
SET_0211,PAY_0211,2026-08-23,79071.85,1613.71
SET_0212,PAY_0212,2026-08-03,6679.96,135.23
SET_0214,PAY_0214,2026-08-17,87847.47,1792.81
SET_0215,PAY_0215,2026-08-14,-64290.43,-1312.05
SET_0216,PAY_0216,2026-08-06,49403.45,1008.23
SET_0217,PAY_0217,2026-08-04,100491.68,2050.85
SET_0220,PAY_0220,2026-08-21,56327.33,1149.54
SET_0221,PAY_0221,2026-08-15,98555.36,2011.33
SET_0222,PAY_0222,2026-08-20,49774.61,1015.81
SET_0223,PAY_0223,2026-08-11,87714.63,1790.09
SET_0224,PAY_0224,2026-08-11,14172.89,289.24
SET_0225,PAY_0225,2026-08-22,95320.34,1945.31
SET_0226,PAY_0226,2026-08-06,-33902.16,-691.88
SET_0227,PAY_0227,2026-08-22,14060.16,286.94
SET_0228,PAY_0228,2026-08-20,89260.59,1821.64
SET_0229,PAY_0229,2026-08-22,40512.38,826.78
SET_0230,PAY_0230,2026-08-17,54362.1,1109.43
SET_0231,PAY_0231,2026-08-20,11952.95,243.94
SET_0232,PAY_0232,2026-08-11,56481.86,1153.23
SET_0233,PAY_0233,2026-08-11,14211.52,290.03
SET_0234,PAY_0234,2026-08-16,69617.63,1419.1
SET_0235,PAY_0235,2026-08-20,77391.56,1579.42
SET_0236,PAY_0236,2026-08-20,22355.29,456.23
SET_0237,PAY_0237,2026-08-04,61210.75,1249.2
SET_0238,PAY_0238,2026-08-09,83519.9,1704.49
SET_0239,PAY_0239,2026-08-13,46742.78,953.93
SET_0240,PAY_0240,2026-08-15,90863.15,1854.35
SET_0241,PAY_0241,2026-08-22,76812.56999999999,1569.26
SET_0242,PAY_0242,2026-08-14,36997.81,755.06
SET_0243,PAY_0243,2026-08-12,14735.64,300.73
SET_0244,PAY_0244,2026-08-11,112091.2,2287.58
SET_0245,PAY_0245,2026-08-21,83653.08,1707.21
SET_0246,PAY_0246,2026-08-19,47163.24,962.51
SET_0247,PAY_0247,2026-08-18,16048.56,327.52
SET_0248,PAY_0248,2026-08-02,45616.26,930.94
SET_0249,PAY_0249,2026-08-12,109890.95,2242.67
SET_0250,PAY_0250,2026-08-09,115637.43,2359.95
SET_0251,PAY_0251,2026-08-11,98549.22,2011.21
SET_0252,PAY_0252,2026-08-12,102080.20999999999,2082.87
SET_0253,PAY_0253,2026-08-06,-23606.16,-481.76
SET_0254,PAY_0254,2026-08-16,-10581.96,-215.96
SET_0255,PAY_0255,2026-08-16,72860.8,1486.95
SET_0256,PAY_0256,2026-08-19,32056.57,654.22
SET_0257,PAY_0257,2026-08-13,80299.44,1638.76
SET_0259,PAY_0259,2026-08-07,95524.04,1949.47
SET_0260,PAY_0260,2026-08-10,11514.36,234.99
SET_0261,PAY_0261,2026-08-19,108421.62,2212.69
SET_0262,PAY_0262,2026-08-16,14996.36,306.05
SET_0263,PAY_0263,2026-08-06,97079.13,1981.21
SET_0264,PAY_0264,2026-08-16,102965.66,2101.34
SET_0265,PAY_0265,2026-08-03,49335.64,1006.85
SET_0266,PAY_0266,2026-08-14,114944.2,2347.73
SET_0267,PAY_0267,2026-08-05,97972.23,1999.43
SET_0268,PAY_0268,2026-08-11,9989.9,203.88
SET_0269,PAY_0269,2026-08-25,6358.88,129.77
SET_0270,PAY_0270,2026-08-06,66072.53,1348.42
SET_0271,PAY_0271,2026-08-05,91050.77,1858.18
SET_0272,PAY_0272,2026-08-07,11027.67,225.05
SET_0273,PAY_0273,2026-08-17,71338.56,1455.89
SET_0274,PAY_0274,2026-08-09,37780.56,771.03
SET_0275,PAY_0275,2026-08-15,26359.93,537.96
SET_0276,PAY_0276,2026-08-04,110521.02,2255.53
SET_0277,PAY_0277,2026-08-14,101724.45,2076.01
SET_0278,PAY_0278,2026-08-13,33647.51,686.68
SET_0279,PAY_0279,2026-08-04,43661.31,891.05
SET_0280,PAY_0280,2026-08-09,10652.63,217.4
SET_0281,PAY_0281,2026-08-16,113532.83,2317.0
SET_0282,PAY_0282,2026-08-06,12714.1,259.47
SET_0283,PAY_0283,2026-08-11,27928.38,569.97
SET_0284,PAY_0284,2026-08-18,108320.26,2210.62
SET_0285,PAY_0285,2026-08-14,9805.08,200.1
SET_0286,PAY_0286,2026-08-27,42246.58,862.18
SET_0287,PAY_0287,2026-08-19,104065.08,2123.78
SET_0288,PAY_0288,2026-08-17,46138.0,941.59
SET_0289,PAY_0289,2026-08-04,85657.7,1748.12
SET_0290,PAY_0290,2026-08-21,115101.5,2349.01
SET_0291,PAY_0291,2026-08-12,17053.2,348.02
SET_0292,PAY_0292,2026-08-11,54769.42,1117.74
SET_0293,PAY_0293,2026-08-16,44402.24,906.17
