Bank_Txn_ID,Settlement_ID,Date,Amount
BNK_1,SET_1,2026-08-03,5235.06
BNK_2,SET_2,2026-08-03,4051.18
BNK_3,SET_3,2026-08-03,1688.71
BNK_4,SET_4,2026-08-03,4635.95
BNK_5,SET_5,2026-08-03,7758.04
BNK_6,SET_6,2026-08-03,688.14
BNK_7,SET_7,2026-08-03,5842.20
BNK_8,SET_8,2026-08-03,3343.03
BNK_9,SET_9,2026-08-03,8633.94
BNK_11,SET_11,2026-08-03,7062.57
BNK_12,SET_12,2026-08-03,6413.87
BNK_13,SET_13,2026-08-03,4767.83
BNK_14,SET_14,2026-08-03,1442.80
BNK_16,SET_16,2026-08-03,8280.54
BNK_17,SET_17,2026-08-03,6566.34
BNK_18,SET_18,2026-08-03,6635.44
BNK_19,SET_19,2026-08-03,1789.00
BNK_21,SET_21,2026-08-03,2732.77
BNK_22,SET_22,2026-08-03,918.95
BNK_23,SET_23,2026-08-03,6542.52
BNK_24,SET_24,2026-08-03,3319.59
BNK_26,SET_26,2026-08-03,2657.11
BNK_27,SET_27,2026-08-03,4078.02
BNK_28,SET_28,2026-08-03,8597.35
BNK_29,SET_29,2026-08-03,1789.40
BNK_31,SET_31,2026-08-03,5085.81
BNK_32,SET_32,2026-08-03,4394.92
BNK_33,SET_33,2026-08-03,3509.61
BNK_34,SET_34,2026-08-03,3015.01
BNK_35,SET_35,2026-08-03,2719.24
BNK_36,SET_36,2026-08-03,1249.97
BNK_37,SET_37,2026-08-03,8249.32
BNK_38,SET_38,2026-08-03,2022.42
BNK_39,SET_39,2026-08-03,4398.71
BNK_41,SET_41,2026-08-03,4929.16
BNK_42,SET_42,2026-08-03,8752.28
BNK_43,SET_43,2026-08-03,6143.95
BNK_44,SET_44,2026-08-03,6485.50
BNK_45,SET_45,2026-08-03,5884.86
BNK_46,SET_46,2026-08-03,919.57
BNK_47,SET_47,2026-08-03,9942.97
BNK_48,SET_48,2026-08-03,5760.28
BNK_49,SET_49,2026-08-03,8387.40
BNK_51,SET_51,2026-08-03,7043.66
BNK_52,SET_52,2026-08-03,1216.69
BNK_53,SET_53,2026-08-03,8812.94
BNK_54,SET_54,2026-08-03,7516.03
BNK_55,SET_55,2026-08-03,8550.49
BNK_56,SET_56,2026-08-03,10051.44
BNK_57,SET_57,2026-08-03,6797.13
BNK_58,SET_58,2026-08-03,8742.41
BNK_59,SET_59,2026-08-03,4523.40
BNK_60,SET_60,2026-08-03,5191.20
BNK_61,SET_61,2026-08-03,6468.95
BNK_62,SET_62,2026-08-03,2994.92
BNK_63,SET_63,2026-08-03,727.93
BNK_64,SET_64,2026-08-03,8925.75
BNK_65,SET_65,2026-08-03,3153.06
BNK_66,SET_66,2026-08-03,8271.80
BNK_67,SET_67,2026-08-03,3459.04
BNK_68,SET_68,2026-08-03,1538.34
BNK_69,SET_69,2026-08-03,3945.03
BNK_70,SET_70,2026-08-03,5651.96
BNK_71,SET_71,2026-08-03,5282.10
BNK_72,SET_72,2026-08-03,1135.33
BNK_73,SET_73,2026-08-03,1072.32
BNK_74,SET_74,2026-08-03,10179.72
BNK_75,SET_75,2026-08-03,3516.56
BNK_76,SET_76,2026-08-03,2001.28
BNK_77,SET_77,2026-08-03,3706.66
BNK_78,SET_78,2026-08-03,9837.61
BNK_79,SET_79,2026-08-03,6253.84
BNK_80,SET_80,2026-08-03,10002.06
BNK_80_DUP,SET_80,2026-08-03,10002.06
BNK_81,SET_81,2026-08-03,7466.25
BNK_82,SET_82,2026-08-03,6591.27
BNK_83,SET_83,2026-08-03,4066.27
BNK_84,SET_84,2026-08-03,7919.64
BNK_85,SET_85,2026-08-03,751.60
BNK_86,SET_86,2026-08-03,4745.10
BNK_87,SET_87,2026-08-03,905.21
BNK_88,SET_88,2026-08-03,3100.80
BNK_89,SET_89,2026-08-03,9012.80
BNK_90,SET_90,2026-08-03,8717.19
BNK_90_DUP,SET_90,2026-08-03,8717.19
BNK_91,SET_91,2026-08-03,2727.30
BNK_92,SET_92,2026-08-03,2104.69
BNK_93,SET_93,2026-08-03,3976.08
BNK_94,SET_94,2026-08-03,5966.41
BNK_95,SET_95,2026-08-03,8761.77
BNK_96,SET_96,2026-08-03,5002.25
BNK_97,SET_97,2026-08-03,5750.33
BNK_98,SET_98,2026-08-03,6916.79
BNK_99,SET_99,2026-08-03,8772.13
BNK_100,SET_100,2026-08-03,10147.60
