Invoice_ID,Date,Amount,Description,Category
INV_1,2026-08-01,5341.90,Professional Fees,Services
INV_2,2026-08-01,4133.86,Product Sale,Sales
INV_3,2026-08-01,1723.17,Professional Fees,Services
INV_4,2026-08-01,4730.56,Professional Fees,Services
INV_5,2026-08-01,7916.37,Product Sale,Sales
INV_6,2026-08-01,702.18,Professional Fees,Services
INV_7,2026-08-01,5961.43,Product Sale,Sales
INV_8,2026-08-01,3411.26,Product Sale,Sales
INV_9,2026-08-01,8810.14,Professional Fees,Services
INV_10,2026-08-01,6742.82,Professional Fees,Services
INV_11,2026-08-01,7206.70,Product Sale,Sales
INV_12,2026-08-01,6544.77,Professional Fees,Services
INV_13,2026-08-01,4865.13,Professional Fees,Services
INV_14,2026-08-01,1472.25,Professional Fees,Services
INV_15,2026-08-01,8833.81,Professional Fees,Services
INV_16,2026-08-01,8449.53,Product Sale,Sales
INV_17,2026-08-01,6700.35,Product Sale,Sales
INV_18,2026-08-01,6770.86,Professional Fees,Services
INV_19,2026-08-01,1825.51,Product Sale,Sales
INV_20,2026-08-01,1464.94,Professional Fees,Services
INV_21,2026-08-01,2788.54,Professional Fees,Services
INV_22,2026-08-01,937.70,Product Sale,Sales
INV_23,2026-08-01,6676.04,Professional Fees,Services
INV_24,2026-08-01,3387.34,Product Sale,Sales
INV_25,2026-08-01,3881.65,Product Sale,Sales
INV_26,2026-08-01,2711.34,Product Sale,Sales
INV_27,2026-08-01,4161.25,Professional Fees,Services
INV_28,2026-08-01,8772.81,Product Sale,Sales
INV_29,2026-08-01,1825.92,Product Sale,Sales
INV_30,2026-08-01,4950.24,Product Sale,Sales
INV_31,2026-08-01,5189.60,Product Sale,Sales
INV_32,2026-08-01,4484.61,Professional Fees,Services
INV_33,2026-08-01,3581.23,Product Sale,Sales
INV_34,2026-08-01,3076.54,Product Sale,Sales
INV_35,2026-08-01,2774.73,Product Sale,Sales
INV_36,2026-08-01,1275.48,Product Sale,Sales
INV_37,2026-08-01,8417.67,Product Sale,Sales
INV_38,2026-08-01,2063.69,Professional Fees,Services
INV_39,2026-08-01,4488.48,Product Sale,Sales
INV_40,2026-08-01,5024.36,Product Sale,Sales
INV_41,2026-08-01,5029.76,Product Sale,Sales
INV_42,2026-08-01,8930.90,Product Sale,Sales
INV_43,2026-08-01,6269.34,Professional Fees,Services
INV_44,2026-08-01,6617.86,Professional Fees,Services
INV_45,2026-08-01,6004.96,Product Sale,Sales
INV_46,2026-08-01,938.34,Product Sale,Sales
INV_47,2026-08-01,10145.89,Product Sale,Sales
INV_48,2026-08-01,5877.84,Product Sale,Sales
INV_49,2026-08-01,8558.57,Product Sale,Sales
INV_50,2026-08-01,10200.65,Professional Fees,Services
INV_51,2026-08-01,7187.41,Professional Fees,Services
INV_52,2026-08-01,1241.52,Product Sale,Sales
INV_53,2026-08-01,8992.80,Product Sale,Sales
INV_54,2026-08-01,7669.42,Product Sale,Sales
INV_55,2026-08-01,8724.99,Product Sale,Sales
INV_56,2026-08-01,10256.57,Professional Fees,Services
INV_57,2026-08-01,6935.85,Product Sale,Sales
INV_58,2026-08-01,8920.83,Product Sale,Sales
INV_59,2026-08-01,4615.71,Product Sale,Sales
INV_60,2026-08-01,5399.18,Product Sale,Sales
INV_61,2026-08-01,6600.97,Professional Fees,Services
INV_62,2026-08-01,3056.04,Product Sale,Sales
INV_63,2026-08-01,742.79,Product Sale,Sales
INV_64,2026-08-01,9107.91,Product Sale,Sales
INV_65,2026-08-01,3217.41,Product Sale,Sales
INV_66,2026-08-01,8440.61,Product Sale,Sales
INV_67,2026-08-01,3529.63,Product Sale,Sales
INV_68,2026-08-01,1569.73,Product Sale,Sales
INV_69,2026-08-01,4025.54,Product Sale,Sales
INV_70,2026-08-01,5767.31,Product Sale,Sales
INV_71,2026-08-01,5389.90,Product Sale,Sales
INV_72,2026-08-01,1158.50,Product Sale,Sales
INV_73,2026-08-01,1094.20,Product Sale,Sales
INV_74,2026-08-01,10387.47,Product Sale,Sales
INV_75,2026-08-01,3588.33,Product Sale,Sales
INV_76,2026-08-01,2042.12,Product Sale,Sales
INV_77,2026-08-01,3782.31,Product Sale,Sales
INV_78,2026-08-01,10038.38,Product Sale,Sales
INV_79,2026-08-01,6381.47,Product Sale,Sales
INV_80,2026-08-01,10206.18,Product Sale,Sales
INV_81,2026-08-01,7618.62,Product Sale,Sales
INV_82,2026-08-01,6725.79,Product Sale,Sales
INV_83,2026-08-01,4149.25,Product Sale,Sales
INV_84,2026-08-01,8081.27,Professional Fees,Services
INV_85,2026-08-01,766.94,Professional Fees,Services
INV_86,2026-08-01,4841.94,Product Sale,Sales
INV_87,2026-08-01,923.68,Professional Fees,Services
INV_88,2026-08-01,3164.08,Product Sale,Sales
INV_89,2026-08-01,9196.73,Product Sale,Sales
INV_90,2026-08-01,8895.09,Product Sale,Sales
INV_91,2026-08-01,2782.96,Product Sale,Sales
INV_92,2026-08-01,2147.64,Professional Fees,Services
INV_93,2026-08-01,4057.22,Product Sale,Sales
INV_94,2026-08-01,6088.17,Professional Fees,Services
INV_95,2026-08-01,8940.58,Product Sale,Sales
INV_96,2026-08-01,5104.34,Product Sale,Sales
INV_97,2026-08-01,5867.68,Product Sale,Sales
INV_98,2026-08-01,7057.95,Product Sale,Sales
INV_99,2026-08-01,8951.15,Professional Fees,Services
INV_100,2026-08-01,10354.69,Product Sale,Sales
