Payment_ID,Invoice_ID,Date,Amount
PAY_1,INV_1,2026-08-01,5341.90
PAY_2,INV_2,2026-08-01,4133.86
PAY_3,INV_3,2026-08-01,1723.17
PAY_4,INV_4,2026-08-01,4730.56
PAY_5,INV_5,2026-08-01,7916.37
PAY_6,INV_6,2026-08-01,702.18
PAY_7,INV_7,2026-08-01,5961.43
PAY_8,INV_8,2026-08-01,3411.26
PAY_9,INV_9,2026-08-01,8810.14
PAY_10,INV_10,2026-08-01,6742.82
PAY_11,INV_11,2026-08-01,7206.70
PAY_12,INV_12,2026-08-01,6544.77
PAY_13,INV_13,2026-08-01,4865.13
PAY_14,INV_14,2026-08-01,1472.25
PAY_15,INV_15,2026-08-01,8833.81
PAY_16,INV_16,2026-08-01,8449.53
PAY_17,INV_17,2026-08-01,6700.35
PAY_18,INV_18,2026-08-01,6770.86
PAY_19,INV_19,2026-08-01,1825.51
PAY_20,INV_20,2026-08-01,1464.94
PAY_21,INV_21,2026-08-01,2788.54
PAY_22,INV_22,2026-08-01,937.70
PAY_23,INV_23,2026-08-01,6676.04
PAY_24,INV_24,2026-08-01,3387.34
PAY_25,INV_25,2026-08-01,3881.65
PAY_26,INV_26,2026-08-01,2711.34
PAY_27,INV_27,2026-08-01,4161.25
PAY_28,INV_28,2026-08-01,8772.81
PAY_29,INV_29,2026-08-01,1825.92
PAY_30,INV_30,2026-08-01,4950.24
PAY_31,INV_31,2026-08-01,5189.60
PAY_32,INV_32,2026-08-01,4484.61
PAY_33,INV_33,2026-08-01,3581.23
PAY_34,INV_34,2026-08-01,3076.54
PAY_35,INV_35,2026-08-01,2774.73
PAY_36,INV_36,2026-08-01,1275.48
PAY_37,INV_37,2026-08-01,8417.67
PAY_38,INV_38,2026-08-01,2063.69
PAY_39,INV_39,2026-08-01,4488.48
PAY_40,INV_40,2026-08-01,5024.36
PAY_41,INV_41,2026-08-01,5029.76
PAY_42,INV_42,2026-08-01,8930.90
PAY_43,INV_43,2026-08-01,6269.34
PAY_44,INV_44,2026-08-01,6617.86
PAY_45,INV_45,2026-08-01,6004.96
PAY_46,INV_46,2026-08-01,938.34
PAY_47,INV_47,2026-08-01,10145.89
PAY_48,INV_48,2026-08-01,5877.84
PAY_49,INV_49,2026-08-01,8558.57
PAY_50,INV_50,2026-08-01,10200.65
PAY_51,INV_51,2026-08-01,7187.41
PAY_52,INV_52,2026-08-01,1241.52
PAY_53,INV_53,2026-08-01,8992.80
PAY_54,INV_54,2026-08-01,7669.42
PAY_55,INV_55,2026-08-01,8724.99
PAY_56,INV_56,2026-08-01,10256.57
PAY_57,INV_57,2026-08-01,6935.85
PAY_58,INV_58,2026-08-01,8920.83
PAY_59,INV_59,2026-08-01,4615.71
PAY_60,INV_60,2026-08-01,5399.18
PAY_61,INV_61,2026-08-01,6600.97
PAY_62,INV_62,2026-08-01,3056.04
PAY_63,INV_63,2026-08-01,742.79
PAY_64,INV_64,2026-08-01,9107.91
PAY_65,INV_65,2026-08-01,3217.41
PAY_66,INV_66,2026-08-01,8440.61
PAY_67,INV_67,2026-08-01,3529.63
PAY_68,INV_68,2026-08-01,1569.73
PAY_69,INV_69,2026-08-01,4025.54
PAY_70,INV_70,2026-08-01,5767.31
PAY_71,INV_71,2026-08-01,5389.90
PAY_72,INV_72,2026-08-01,1158.50
PAY_73,INV_73,2026-08-01,1094.20
PAY_74,INV_74,2026-08-01,10387.47
PAY_75,INV_75,2026-08-01,3588.33
PAY_76,INV_76,2026-08-01,2042.12
PAY_77,INV_77,2026-08-01,3782.31
PAY_78,INV_78,2026-08-01,10038.38
PAY_79,INV_79,2026-08-01,6381.47
PAY_80,INV_80,2026-08-01,10206.18
PAY_81,INV_81,2026-08-01,7618.62
PAY_82,INV_82,2026-08-01,6725.79
PAY_83,INV_83,2026-08-01,4149.25
PAY_84,INV_84,2026-08-01,8081.27
PAY_85,INV_85,2026-08-01,766.94
PAY_86,INV_86,2026-08-01,4841.94
PAY_87,INV_87,2026-08-01,923.68
PAY_88,INV_88,2026-08-01,3164.08
PAY_89,INV_89,2026-08-01,9196.73
PAY_90,INV_90,2026-08-01,8895.09
PAY_91,INV_91,2026-08-01,2782.96
PAY_92,INV_92,2026-08-01,2147.64
PAY_93,INV_93,2026-08-01,4057.22
PAY_94,INV_94,2026-08-01,6088.17
PAY_95,INV_95,2026-08-01,8940.58
PAY_96,INV_96,2026-08-01,5104.34
PAY_97,INV_97,2026-08-01,5867.68
PAY_98,INV_98,2026-08-01,7057.95
PAY_99,INV_99,2026-08-01,8951.15
PAY_100,INV_100,2026-08-01,10354.69
