Settlement_ID,Payment_ID,Date,Amount,MDR
SET_1,PAY_1,2026-08-02,5235.06,106.84
SET_2,PAY_2,2026-08-02,4051.18,82.68
SET_3,PAY_3,2026-08-02,1688.71,34.46
SET_4,PAY_4,2026-08-02,4635.95,94.61
SET_5,PAY_5,2026-08-02,7758.04,158.33
SET_6,PAY_6,2026-08-02,688.14,14.04
SET_7,PAY_7,2026-08-02,5842.20,119.23
SET_8,PAY_8,2026-08-02,3343.03,68.23
SET_9,PAY_9,2026-08-02,8633.94,176.20
SET_11,PAY_11,2026-08-02,7062.57,144.13
SET_12,PAY_12,2026-08-02,6413.87,130.90
SET_13,PAY_13,2026-08-02,4767.83,97.30
SET_14,PAY_14,2026-08-02,1442.80,29.45
SET_15,PAY_15,2026-08-02,8657.13,176.68
SET_16,PAY_16,2026-08-02,8280.54,168.99
SET_17,PAY_17,2026-08-02,6566.34,134.01
SET_18,PAY_18,2026-08-02,6635.44,135.42
SET_19,PAY_19,2026-08-02,1789.00,36.51
SET_21,PAY_21,2026-08-02,2732.77,55.77
SET_22,PAY_22,2026-08-02,918.95,18.75
SET_23,PAY_23,2026-08-02,6542.52,133.52
SET_24,PAY_24,2026-08-02,3319.59,67.75
SET_25,PAY_25,2026-08-02,3804.02,77.63
SET_26,PAY_26,2026-08-02,2657.11,54.23
SET_27,PAY_27,2026-08-02,4078.02,83.23
SET_28,PAY_28,2026-08-02,8597.35,175.46
SET_29,PAY_29,2026-08-02,1789.40,36.52
SET_31,PAY_31,2026-08-02,5085.81,103.79
SET_32,PAY_32,2026-08-02,4394.92,89.69
SET_33,PAY_33,2026-08-02,3509.61,71.62
SET_34,PAY_34,2026-08-02,3015.01,61.53
SET_35,PAY_35,2026-08-02,2719.24,55.49
SET_36,PAY_36,2026-08-02,1249.97,25.51
SET_37,PAY_37,2026-08-02,8249.32,168.35
SET_38,PAY_38,2026-08-02,2022.42,41.27
SET_39,PAY_39,2026-08-02,4398.71,89.77
SET_41,PAY_41,2026-08-02,4929.16,100.60
SET_42,PAY_42,2026-08-02,8752.28,178.62
SET_43,PAY_43,2026-08-02,6143.95,125.39
SET_44,PAY_44,2026-08-02,6485.50,132.36
SET_45,PAY_45,2026-08-02,5884.86,120.10
SET_46,PAY_46,2026-08-02,919.57,18.77
SET_47,PAY_47,2026-08-02,9942.97,202.92
SET_48,PAY_48,2026-08-02,5760.28,117.56
SET_49,PAY_49,2026-08-02,8387.40,171.17
SET_51,PAY_51,2026-08-02,7043.66,143.75
SET_52,PAY_52,2026-08-02,1216.69,24.83
SET_53,PAY_53,2026-08-02,8812.94,179.86
SET_54,PAY_54,2026-08-02,7516.03,153.39
SET_55,PAY_55,2026-08-02,8550.49,174.50
SET_56,PAY_56,2026-08-02,10051.44,205.13
SET_57,PAY_57,2026-08-02,6797.13,138.72
SET_58,PAY_58,2026-08-02,8742.41,178.42
SET_59,PAY_59,2026-08-02,4523.40,92.31
SET_60,PAY_60,2026-08-02,5191.20,107.98
SET_61,PAY_61,2026-08-02,6468.95,132.02
SET_62,PAY_62,2026-08-02,2994.92,61.12
SET_63,PAY_63,2026-08-02,727.93,14.86
SET_64,PAY_64,2026-08-02,8925.75,182.16
SET_65,PAY_65,2026-08-02,3153.06,64.35
SET_66,PAY_66,2026-08-02,8271.80,168.81
SET_67,PAY_67,2026-08-02,3459.04,70.59
SET_68,PAY_68,2026-08-02,1538.34,31.39
SET_69,PAY_69,2026-08-02,3945.03,80.51
SET_70,PAY_70,2026-08-04,5651.96,115.35
SET_71,PAY_71,2026-08-02,5282.10,107.80
SET_72,PAY_72,2026-08-02,1135.33,23.17
SET_73,PAY_73,2026-08-02,1072.32,21.88
SET_74,PAY_74,2026-08-02,10179.72,207.75
SET_75,PAY_75,2026-08-02,3516.56,71.77
SET_76,PAY_76,2026-08-02,2001.28,40.84
SET_77,PAY_77,2026-08-02,3706.66,75.65
SET_78,PAY_78,2026-08-02,9837.61,200.77
SET_79,PAY_79,2026-08-02,6253.84,127.63
SET_80,PAY_80,2026-08-02,10002.06,204.12
SET_81,PAY_81,2026-08-02,7466.25,152.37
SET_82,PAY_82,2026-08-02,6591.27,134.52
SET_83,PAY_83,2026-08-02,4066.27,82.98
SET_84,PAY_84,2026-08-02,7919.64,161.63
SET_85,PAY_85,2026-08-02,751.60,15.34
SET_86,PAY_86,2026-08-02,4745.10,96.84
SET_87,PAY_87,2026-08-02,905.21,18.47
SET_88,PAY_88,2026-08-02,3100.80,63.28
SET_89,PAY_89,2026-08-02,9012.80,183.93
SET_90,PAY_90,2026-08-02,8717.19,177.90
SET_91,PAY_91,2026-08-02,2727.30,55.66
SET_92,PAY_92,2026-08-02,2104.69,42.95
SET_93,PAY_93,2026-08-02,3976.08,81.14
SET_94,PAY_94,2026-08-02,5966.41,121.76
SET_95,PAY_95,2026-08-02,8761.77,178.81
SET_96,PAY_96,2026-08-02,5002.25,102.09
SET_97,PAY_97,2026-08-02,5750.33,117.35
SET_98,PAY_98,2026-08-02,6916.79,141.16
SET_99,PAY_99,2026-08-02,8772.13,179.02
SET_100,PAY_100,2026-08-02,10147.60,207.09
